product_id,error_reason
230005869,HTTP 404
230004864,HTTP 404
217524778,HTTP 404
225263759,HTTP 404
230201510,HTTP 404
247437307,HTTP 404
260805654,HTTP 404
217528573,HTTP 404
198289547,HTTP 404
195238171,HTTP 404
214595306,HTTP 404
205278683,HTTP 404
192970180,HTTP 404
262673016,HTTP 404
214798971,HTTP 404
262673273,HTTP 404
244167141,HTTP 404
153612232,HTTP 404
166233431,HTTP 404
150946988,HTTP 404
262533668,HTTP 404
189235633,HTTP 404
243223165,HTTP 404
263403786,HTTP 404
181940296,HTTP 404
91932472,HTTP 404
75769663,HTTP 404
74532664,HTTP 404
91938807,HTTP 404
91940010,HTTP 404
91937597,HTTP 404
91945133,HTTP 404
91950879,HTTP 404
74421745,HTTP 404
214760217,HTTP 404
214757478,HTTP 404
153530111,HTTP 404
253111307,HTTP 404
162087391,HTTP 404
261900853,HTTP 404
261900461,HTTP 404
261900631,HTTP 404
198414835,HTTP 404
253186947,HTTP 404
195745514,HTTP 404
49250760,HTTP 404
192761524,HTTP 404
225915740,HTTP 404
262198965,HTTP 404
192757872,HTTP 404
192786153,HTTP 404
200551129,HTTP 404
263403811,HTTP 404
262213883,HTTP 404
253664020,HTTP 404
253350227,HTTP 404
200546939,HTTP 404
215878052,HTTP 404
215886021,HTTP 404
247288733,HTTP 404
248746103,HTTP 404
215887031,HTTP 404
262235674,HTTP 404
200548604,HTTP 404
262227178,HTTP 404
200550020,HTTP 404
192754653,HTTP 404
192784272,HTTP 404
200539150,HTTP 404
215881061,HTTP 404
164968515,HTTP 404
202787474,HTTP 404
202798804,HTTP 404
164968086,HTTP 404
202788159,HTTP 404
203704047,HTTP 404
203731026,HTTP 404
203703280,HTTP 404
200800257,HTTP 404
200798631,HTTP 404
248777924,HTTP 404
200799084,HTTP 404
262706662,HTTP 404
200800067,HTTP 404
203730958,HTTP 404
210279841,HTTP 404
210276664,HTTP 404
261988228,HTTP 404
210279181,HTTP 404
210279490,HTTP 404
200799123,HTTP 404
210279892,HTTP 404
200799409,HTTP 404
210276967,HTTP 404
210278452,HTTP 404
164972793,HTTP 404
242703693,HTTP 404
144045034,HTTP 404
263099604,HTTP 404
263099547,HTTP 404
252757905,HTTP 404
200800397,HTTP 404
210278948,HTTP 404
261979067,HTTP 404
261979142,HTTP 404
261978851,HTTP 404
261979037,HTTP 404
261979001,HTTP 404
261978823,HTTP 404
261978931,HTTP 404
261979157,HTTP 404
261979084,HTTP 404
261978937,HTTP 404
261979052,HTTP 404
261978932,HTTP 404
200528988,HTTP 404
252211869,HTTP 404
261978801,HTTP 404
263573701,HTTP 404
263573578,HTTP 404
263573593,HTTP 404
263573515,HTTP 404
244306095,HTTP 404
263573803,HTTP 404
263573693,HTTP 404
263573516,HTTP 404
263573576,HTTP 404
263573936,HTTP 404
263573581,HTTP 404
206134891,HTTP 404
253614654,HTTP 404
193647601,HTTP 404
186909064,HTTP 404
197729017,HTTP 404
198465853,HTTP 404
200798638,HTTP 404
102797694,HTTP 404
189420388,HTTP 404
199638230,HTTP 404
251573204,HTTP 404
210278471,HTTP 404
164965404,HTTP 404
253146662,HTTP 404
196469884,HTTP 404
200798555,HTTP 404
262693032,HTTP 404
263401984,HTTP 404
219369225,HTTP 404
200797942,HTTP 404
203730972,HTTP 404
248783003,HTTP 404
200797882,HTTP 404
197730935,HTTP 404
210280121,HTTP 404
210278015,HTTP 404
208760933,HTTP 404
